,證券代號,證券名稱
796,4526,東台
797,4532,瑞智
798,4536,拓凱
799,4540,全球傳動
800,4545,銘鈺
801,4551,智伸科
802,4552,力達-KY
803,4555,氣立
804,4557,永新-KY
805,4560,強信-KY
806,4562,穎漢
807,4564,元翎
808,4566,時碩工業
809,4720,德淵
810,4722,國精化
811,4725,信昌化
812,4737,華廣
813,4739,康普
814,4746,台耀
815,4755,三福化
816,4763,材料-KY
817,4764,雙鍵
818,4766,南寶
819,4807,日成-KY
820,4904,遠傳
821,4906,正文
822,4912,聯德控股-KY
823,4915,致伸
824,4916,事欣科
825,4919,新唐
826,4927,泰鼎-KY
827,4930,燦星網
828,4934,太極
829,4935,茂林-KY
830,4938,和碩
831,4942,嘉彰
832,4943,康控-KY
833,4952,凌通
834,4956,光鋐
835,4958,臻鼎-KY
836,4960,誠美材
837,4961,天鈺
838,4967,十銓
839,4968,立積
840,4976,佳凌
841,4977,眾達-KY
842,4989,榮科
843,4994,傳奇
844,4999,鑫禾
845,5007,三星
846,5203,訊連
847,5215,科嘉-KY
848,5225,東科-KY
849,5234,達興材料
850,5243,乙盛-KY
851,5258,虹堡
852,5259,清惠
853,5264,鎧勝-KY
854,5269,祥碩
855,5284,jpp-KY
856,5285,界霖
857,5288,豐祥-KY
858,5305,敦南
859,5388,中磊
860,5434,崇越
861,5469,瀚宇博
862,5471,松翰
863,5484,慧友
864,5515,建國
865,5519,隆大
866,5521,工信
867,5522,遠雄
868,5525,順天
869,5531,鄉林
870,5533,皇鼎
871,5534,長虹
872,5538,東明-KY
873,5607,遠雄港
874,5608,四維航
875,5706,鳳凰
876,5871,中租-KY
877,5876,上海商銀
878,5880,合庫金
879,5906,台南-KY
880,5907,大洋-KY
881,6005,群益證
882,6024,群益期
883,6108,競國
884,6112,聚碩
885,6115,鎰勝
886,6116,彩晶
887,6117,迎廣
888,6120,達運
889,6128,上福
890,6133,金橋
891,6136,富爾特
892,6139,亞翔
893,6141,柏承
894,6142,友勁
895,6152,百一
896,6153,嘉聯益
897,6155,鈞寶
898,6164,華興
899,6165,捷泰
900,6166,凌華
901,6168,宏齊
902,6172,互億
903,6176,瑞儀
904,6177,達麗
